Date,Open,High,Low,Close,Adj Close,Volume
2019-03-20,43.000000,43.200001,42.410000,42.509998,41.032196,1174700
2019-03-21,42.540001,42.700001,41.500000,41.750000,40.298618,1443100
2019-03-22,41.000000,41.459999,40.400002,40.900002,39.478168,1971400
2019-03-25,40.889999,41.860001,40.610001,41.439999,39.999393,1174000
2019-03-26,41.919998,42.720001,41.279999,42.090000,40.626797,961300
2019-03-27,41.520000,41.939999,40.849998,41.189999,39.758083,1404700
2019-03-28,40.930000,42.799999,40.520000,42.660000,41.176979,1603900
2019-03-29,42.619999,43.500000,42.430000,42.709999,41.225243,1476600
2019-04-01,43.320000,43.509998,42.400002,43.330002,41.823692,882200
2019-04-02,43.419998,43.779999,42.369999,42.500000,41.022545,1319700
2019-04-03,42.549999,44.000000,42.549999,43.340000,41.833340,1315400
2019-04-04,43.509998,44.740002,43.270000,43.840000,42.315960,1297600
2019-04-05,44.049999,45.029999,44.000000,44.009998,42.480049,1419000
2019-04-08,44.200001,45.549999,43.610001,44.299999,42.759968,1294300
2019-04-09,44.299999,44.299999,42.880001,42.880001,41.389332,1118500
2019-04-10,43.380001,43.889999,42.509998,42.759998,41.273502,1733200
2019-04-11,42.919998,43.099998,42.000000,42.000000,40.539925,635700
2019-04-12,41.889999,42.410000,41.360001,42.009998,40.549580,1180200
2019-04-15,42.299999,42.759998,41.910000,42.320000,40.848801,931100
2019-04-16,42.220001,43.189999,42.220001,42.830002,41.341072,862900
2019-04-17,43.020000,43.060001,41.549999,42.310001,40.839149,1895200
2019-04-18,42.549999,42.709999,41.849998,42.369999,40.897060,801200
2019-04-22,42.439999,43.400002,42.090000,42.849998,41.360374,791200
2019-04-23,43.189999,43.759998,42.860001,43.400002,41.891258,797000
2019-04-24,43.450001,43.540001,43.110001,43.189999,41.688557,920700
2019-04-25,43.560001,44.389999,43.240002,43.849998,42.325611,1044100
2019-04-26,43.900002,44.650002,43.799999,44.279999,42.740662,1293500
2019-04-29,44.520000,44.990002,44.389999,44.619999,43.068844,1247000
2019-04-30,44.880001,44.889999,43.860001,44.490002,42.943367,983600
2019-05-02,44.490002,44.490002,43.250000,43.400002,41.891258,1363100
2019-05-03,43.509998,43.849998,42.570000,42.570000,41.090111,2162700
2019-05-06,42.480000,42.779999,41.810001,42.660000,41.176979,1143700
2019-05-07,42.610001,42.619999,41.810001,42.200001,40.822929,1361900
2019-05-08,42.529999,43.040001,42.150002,42.150002,40.774563,1004500
2019-05-09,42.250000,42.549999,41.259998,42.349998,40.968033,1424300
2019-05-10,42.299999,43.099998,42.110001,42.570000,41.180855,1188100
2019-05-13,41.900002,42.630001,41.750000,42.340000,40.958363,1439400
2019-05-14,42.410000,42.490002,41.480000,41.799999,40.435982,1782700
2019-05-15,41.500000,42.790001,40.750000,42.000000,40.629456,2074300
2019-05-16,41.599998,42.000000,40.959999,41.560001,40.203815,1638600
2019-05-17,41.560001,41.610001,40.130001,40.250000,38.936562,2218700
2019-05-20,40.470001,42.040001,40.310001,41.900002,40.532722,1572400
2019-05-21,42.250000,42.860001,41.910000,42.279999,40.900318,823600
2019-05-22,42.279999,42.599998,41.950001,42.150002,40.774563,817600
2019-05-23,42.259998,42.320000,41.509998,41.619999,40.261856,953200
2019-05-24,42.029999,42.029999,41.520000,41.759998,40.397285,1102400
2019-05-27,41.950001,42.570000,41.880001,41.919998,40.552067,593500
2019-05-28,41.959999,43.099998,41.910000,42.570000,41.180855,2470900
2019-05-29,42.570000,43.290001,42.160000,43.000000,41.596825,1096700
2019-05-30,42.750000,44.279999,42.660000,44.209999,42.767338,1430300
2019-05-31,44.139999,46.320000,43.779999,46.320000,44.808487,2646700
2019-06-03,46.310001,47.110001,45.900002,47.110001,45.572708,1714300
2019-06-04,46.799999,47.110001,45.939999,46.509998,44.992283,1974600
2019-06-05,46.169998,46.910000,46.150002,46.639999,45.118042,1435700
2019-06-06,46.669998,46.750000,45.680000,46.080002,44.576321,2025200
2019-06-07,46.500000,47.540001,46.200001,46.200001,44.692402,2000300
2019-06-10,46.000000,46.389999,44.950001,45.090000,43.618622,2217200
2019-06-11,45.400002,45.650002,44.810001,44.950001,43.483192,2266800
2019-06-12,44.950001,45.220001,44.000000,44.000000,42.564194,1811200
2019-06-13,44.299999,45.080002,44.029999,44.389999,42.941463,2460600
2019-06-14,44.529999,45.119999,43.610001,43.610001,42.186920,1779300
2019-06-17,43.610001,44.119999,43.000000,43.060001,41.654869,1260100
2019-06-18,43.500000,44.240002,43.310001,43.680000,42.254635,1396500
2019-06-19,43.669998,43.889999,42.990002,43.360001,41.945076,1757600
2019-06-21,43.900002,43.939999,43.090000,43.189999,41.780624,3145300
2019-06-24,43.349998,43.720001,42.580002,42.939999,41.538780,2287600
2019-06-25,43.139999,43.169998,42.299999,42.430000,41.045425,1584700
2019-06-26,42.900002,43.020000,41.599998,42.490002,41.103470,3237200
2019-06-27,42.060001,42.820000,41.770000,42.689999,41.296940,2108100
2019-06-28,42.849998,43.779999,42.750000,43.470001,42.051487,2516500
2019-07-01,43.950001,44.000000,43.500000,43.500000,42.080509,595800
2019-07-02,43.799999,43.970001,43.070000,43.709999,42.283653,1181800
2019-07-03,43.310001,44.799999,43.119999,44.060001,42.622234,1842300
2019-07-04,44.680000,45.049999,44.310001,44.340000,42.893097,991800
2019-07-05,44.360001,44.820000,44.070000,44.549999,43.096245,744100
2019-07-08,44.750000,45.189999,44.369999,45.169998,43.696011,601600
2019-07-10,45.299999,46.400002,45.299999,46.160000,44.653706,1581200
2019-07-11,46.380001,46.549999,45.689999,46.029999,44.527946,996500
2019-07-12,46.080002,47.180000,46.080002,46.500000,44.982613,1832000
2019-07-15,46.610001,46.910000,45.840000,45.990002,44.489258,922300
2019-07-16,46.000000,46.490002,46.000000,46.400002,44.885876,900200
2019-07-17,46.500000,47.000000,46.240002,46.700001,45.176086,1106500
2019-07-18,46.820000,47.000000,46.540001,46.740002,45.214783,775600
2019-07-19,46.849998,47.020000,46.240002,46.900002,45.369560,1121300
2019-07-22,46.830002,47.400002,46.439999,47.049999,45.514664,1035300
2019-07-23,47.340000,47.340000,46.450001,46.599998,45.079350,1053700
2019-07-24,46.889999,47.419998,46.740002,46.950001,45.417927,1326900
2019-07-25,47.070000,47.369999,46.560001,46.730000,45.205105,990600
2019-07-26,46.950001,48.410000,46.950001,47.810001,46.249866,1566100
2019-07-29,47.830002,48.900002,47.220001,48.529999,46.946369,1569400
2019-07-30,48.570000,49.500000,48.470001,48.849998,47.255924,1084100
2019-07-31,48.700001,49.009998,48.020000,48.270000,46.694855,1216900
2019-08-01,48.869999,49.439999,48.099998,48.099998,46.530399,1013900
2019-08-02,48.099998,48.619999,47.660000,48.330002,46.752899,1287600
2019-08-05,47.750000,47.919998,47.070000,47.400002,45.853245,1377900
2019-08-06,48.000000,48.639999,47.529999,48.500000,46.917347,1014100
2019-08-07,47.669998,47.730000,46.240002,47.400002,45.853245,1941200
2019-08-08,47.830002,48.389999,47.169998,47.500000,45.949982,1510600
2019-08-09,47.500000,48.270000,47.299999,47.860001,46.298233,1600100
2019-08-12,47.169998,47.529999,46.590000,47.200001,45.659771,1050700
2019-08-13,46.740002,48.090000,46.639999,47.900002,46.336929,1432200
2019-08-14,47.490002,47.610001,45.959999,46.169998,44.663380,1822000
2019-08-15,46.189999,46.669998,44.759998,45.349998,43.870136,1636000
2019-08-16,45.459999,46.020000,45.119999,45.150002,43.676666,1247000
2019-08-19,45.560001,46.029999,44.799999,45.150002,43.676666,806800
2019-08-20,45.150002,45.290001,44.290001,44.310001,42.864079,1256400
2019-08-21,44.740002,44.740002,43.900002,44.570000,43.115593,1169300
2019-08-22,44.959999,44.959999,44.009998,44.009998,42.573864,565000
2019-08-23,44.000000,44.400002,43.200001,43.730000,42.303001,1185300
2019-08-26,44.090000,44.099998,42.570000,43.029999,41.625843,1258900
2019-08-27,43.209999,43.209999,42.369999,42.970001,41.567806,2319100
2019-08-28,42.869999,43.619999,42.389999,43.450001,42.032139,1694500
2019-08-29,43.869999,44.119999,43.330002,44.020000,42.583542,1598300
2019-08-30,44.139999,45.709999,43.919998,44.980000,43.512211,1854600
2019-09-02,45.299999,45.380001,44.250000,44.250000,42.806034,677300
2019-09-03,44.450001,44.650002,43.299999,43.939999,42.506149,1036300
2019-09-04,44.110001,44.310001,43.400002,44.220001,42.777016,1039400
2019-09-05,44.320000,44.959999,44.320000,44.689999,43.231674,1389900
2019-09-06,45.029999,45.340000,43.919998,44.000000,42.564194,1254200
2019-09-09,44.040001,44.759998,43.660000,43.750000,42.322350,1453200
2019-09-10,43.730000,44.150002,43.529999,43.610001,42.186920,826300
2019-09-11,44.000000,44.500000,43.660000,44.369999,42.922119,760100
2019-09-12,44.840000,45.000000,44.529999,44.669998,43.212326,923600
2019-09-13,44.680000,44.939999,44.020000,44.020000,42.583542,728900
2019-09-16,44.169998,44.700001,43.860001,44.419998,42.970486,837600
2019-09-17,44.419998,44.680000,43.849998,43.900002,42.467457,1787700
2019-09-18,43.919998,44.189999,43.720001,43.970001,42.535172,788000
2019-09-19,44.099998,45.480000,44.009998,45.169998,43.696011,1415700
2019-09-20,45.490002,45.849998,44.450001,44.889999,43.425148,1597500
2019-09-23,44.889999,45.020000,44.330002,44.660000,43.202656,673800
2019-09-24,44.660000,44.930000,44.400002,44.709999,43.251022,729400
2019-09-25,44.500000,44.549999,43.709999,44.009998,42.573864,1313600
2019-09-26,43.900002,44.180000,43.720001,43.900002,42.467457,633200
2019-09-27,44.000000,44.049999,43.680000,43.950001,42.515823,555000
2019-09-30,44.000000,44.590000,43.910000,44.389999,42.941463,1048200
2019-10-01,44.509998,44.509998,43.520000,44.439999,42.989834,1597700
2019-10-02,44.150002,44.250000,43.610001,43.610001,42.186920,1391600
2019-10-03,43.750000,43.970001,43.250000,43.970001,42.535172,874700
2019-10-04,43.959999,44.220001,43.549999,44.009998,42.573864,731200
2019-10-07,43.900002,44.099998,42.810001,42.930000,41.529110,1225600
2019-10-08,43.049999,43.310001,42.419998,42.669998,41.277592,1041300
2019-10-09,42.889999,43.029999,42.250000,42.480000,41.093792,1143400
2019-10-10,42.599998,42.750000,42.169998,42.200001,40.822929,1378800
2019-10-11,42.669998,43.230000,42.310001,43.110001,41.703236,861000
2019-10-14,43.259998,43.820000,42.630001,43.820000,42.390064,1143000
2019-10-15,43.869999,44.119999,42.939999,43.220001,41.809647,1554600
2019-10-16,43.689999,43.689999,42.439999,43.310001,41.896709,1290200
2019-10-17,43.369999,43.580002,43.020000,43.570000,42.148224,732100
2019-10-18,43.680000,43.880001,43.220001,43.759998,42.332024,1715400
2019-10-21,43.480000,44.169998,43.230000,44.139999,42.699623,838500
2019-10-22,43.959999,44.480000,43.740002,43.950001,42.515823,1389100
2019-10-23,43.939999,44.130001,43.500000,43.740002,42.312679,1494600
2019-10-24,43.799999,44.020000,43.470001,43.810001,42.380394,1159400
2019-10-25,43.880001,44.119999,43.509998,43.529999,42.109528,898000
2019-10-28,43.700001,44.380001,43.509998,44.220001,42.777016,869600
2019-10-29,44.340000,44.740002,44.070000,44.689999,43.231674,905500
2019-10-30,44.779999,45.330002,44.200001,45.310001,43.831448,864300
2019-10-31,45.290001,45.470001,44.709999,45.259998,43.783073,1335600
2019-11-01,45.520000,46.259998,45.419998,45.980000,44.479580,1884800
2019-11-04,46.049999,46.459999,46.009998,46.009998,44.508602,963800
2019-11-05,46.099998,46.220001,45.470001,45.970001,44.469910,1115000
2019-11-06,46.970001,47.240002,45.869999,46.020000,44.518276,1547500
2019-11-07,46.080002,46.430000,45.860001,46.250000,44.740768,1533700
2019-11-08,45.950001,45.970001,45.020000,45.200001,43.725033,1467100
2019-11-11,45.070000,45.180000,44.619999,45.070000,43.599277,1485400
2019-11-12,45.189999,45.270000,44.209999,44.570000,43.115593,1411100
2019-11-13,44.400002,44.750000,44.020000,44.430000,42.980160,1466800
2019-11-14,44.509998,44.599998,44.110001,44.320000,42.873749,812900
2019-11-18,44.730000,45.080002,44.630001,44.750000,43.289719,1002900
2019-11-19,45.009998,45.240002,44.209999,44.700001,43.241352,1172400
2019-11-21,44.799999,45.040001,44.180000,44.720001,43.260700,1317200
2019-11-22,44.840000,45.439999,44.700001,45.360001,43.879814,944700
2019-11-25,45.369999,45.400002,44.919998,45.349998,43.870136,1182200
2019-11-26,45.200001,45.290001,44.689999,44.840000,43.376781,1819300
2019-11-27,45.070000,45.720001,45.000000,45.459999,43.976547,2615200
2019-11-28,45.500000,46.590000,45.490002,46.360001,44.847183,951500
2019-11-29,46.599998,47.500000,46.580002,46.770000,45.243801,2067300
2019-12-02,47.049999,47.459999,46.459999,46.849998,45.321190,1762000
2019-12-03,45.209999,45.980000,45.180000,45.980000,45.980000,1516100
2019-12-04,46.650002,47.029999,46.500000,46.930000,46.930000,2102400
2019-12-05,46.810001,47.700001,46.520000,47.639999,47.639999,1035300
2019-12-06,47.340000,47.830002,47.340000,47.650002,47.650002,594900
2019-12-09,47.799999,47.799999,47.070000,47.500000,47.500000,760600
2019-12-10,47.320000,47.470001,46.889999,47.270000,47.270000,655000
2019-12-11,47.270000,47.750000,47.070000,47.750000,47.750000,946500
2019-12-12,47.750000,47.900002,47.380001,47.830002,47.830002,993900
